연도,저널 약어,논문 제목,저자,저널 상세,DOI
2002,J. Am. Chem. Soc.,Understanding the Congener-Specific Toxicity in Polychlorinated Dibenzo-p-dioxins: Chlorination Pattern and Molecular Quadrupole Moment,"B. J. Mhin, J. E. Lee, W. Choi",124 (2002) 144-148,https://doi.org/10.1021/ja016913q
2002,J. Photochem. Photobiol. A: Chem.,Visible Light-Induced Reactions of Humic Acids on TiO2,"Y. Cho, W. Choi",148 (2002) 129-135,https://doi.org/10.1016/s1010-6030(02)00082-5
2002,Corrosion Science and Technology,Using Solar Light for Metal Corrosion Prevention,"W. Choi, H. Park, K. Y. Kim",31 (2002) 243-246,
2001,J. Photochem. Photobiol. A: Chem.,Solid-Phase Photocatalytic Degradation of PVC-TiO2 Polymer Composites,"S. Cho, W. Choi",143 (2001) 221-228,https://doi.org/10.1016/s1010-6030(01)00499-3
2001,J. Am. Chem. Soc.,A Simple Rule for Classification of Polychlorinated Dibenzo-p-Dioxin Congeners on the Basis of IR-Frequency Patterns,"B. J. Mhin, J. Choi, W. Choi",123 (2001) 3584-3587,https://doi.org/10.1021/ja0055615
2001,Appl. Catal. B: Environ.,Investigation on TiO2-Coated Optical Fibers for Gas-Phase Photocatalytic Oxidation of Acetone,"W. Choi, J. Y. Ko, H. Park, J. S. Chung",31 (2001) 209-220,https://doi.org/10.1016/s0926-3373(00)00281-2
2001,Ind. Eng. Chem. Res.,Use of Ultrafiltration Membranes for the Separation of TiO2 Photocatalysts in Drinking Water Treatment,"S.-A. Lee, K.-H. Choo, C.-H. Lee, H.-I. Lee, T. Hyeon, W. Choi, H.-H. Kwon",40 (2001) 1712-1719,https://doi.org/10.1021/ie000738p
2001,Chem. Commun.,A Novel Photoelectrochemical Method of Metal Corrosion Prevention Using a TiO2 Solar Panel,"H. Park, K.Y. Kim, W. Choi",281-282 (2001),https://doi.org/10.1039/b008106j
2001,Environ. Sci. Technol.,Visible Light-Induced Degradation of Carbon Tetrachloride on Dye-Sensitized TiO2,"Y. Cho, W. Choi, C.-H. Lee, T. Hyeon, H.-I. Lee",35 (2001) 966-970,https://doi.org/10.1021/es001245e
2001,Bull. Korean Chem. Soc.,UV Light Induced Photocatalytic Degradation of Cyanides in Aqueous Solution over Modified TiO2,"H.-J. Kim, L. Lu, J.-H. Kim, C.-H. Lee, T. Hyeon, W. Choi, H.-I. Lee",22 (2001) 1371-1374,https://doi.org/10.1002/chin.200222012
2001,Korean J. Chem. Eng.,Photocatalytic Reactivity and Diffusing OH Radicals in the Reaction Medium Containing TiO2 Particles,"W. Choi, S. Kim, S. Cho, H.-I. Yoo, M.-H. Kim",18 (2001) 898-902,https://doi.org/10.1007/bf02705615
2001,Korean J. Chem. Eng.,"Correlations among Defect Type, Photoconductivity and Photoreactivity of Doped TiO2","M.-H. Kim, S.-I. Lee, T.-K. Song, H. Park, W. Choi, H.-I. Yoo, T.-G. Park",18 (2001) 873-878,https://doi.org/10.1007/bf02705611
2000,Environ. Sci. Technol.,Photocatalytic Degradation of Polychlorinated Dibenzo-p-dioxins on TiO2 Film under UV or Solar Light Irradiation,"W. Choi, S. J. Hong, Y.-S. Chang, Y. Cho",34 (2000) 4810-4815,https://doi.org/10.1021/es0011461
2000,J. Chem. Phys.,Ab Initio Investigations on the HOSO2 + O2 → SO3 + HO2 Reaction,"D. Majumdar, G.-S. Kim, J. Kim, K. S. Oh, J. Y. Lee, K. S. Kim, W. Choi, S.-H. Lee, M.-H. Kang, B. J. Mhin",112 (2000) 723-730,https://doi.org/10.1063/1.480605
1998,J. Phys. Chem. A,Nitric Acid Uptake and Decomposition on Black Carbon (Soot) Surfaces: Its Implications for the Upper Troposphere and Lower Stratosphere,"W. Choi, M.-T. Leu",102 (1998) 7618-7630,https://doi.org/10.1021/jp981647x
1998,"(article in Korean), Catalysis",Principles and Characteristics of Semiconductor Photocatalysis,W. Choi,14 (1998) 25-35,
1997,Geophys. Res. Lett.,Kinetics of the Heterogeneous Reaction CO + O → CO2 on Inorganic Oxide and Water Ice Surfaces: Implications for the Martian Atmosphere,"W. Choi, M.-T. Leu",24 (1997) 2957-2960,https://doi.org/10.1029/97gl03103
1997,Environ. Sci. Technol.,"Novel Photocatalytic Mechanism of CHCl3, CHBr3, and CCl3CO2- Degradation and the Fate of Photogenerated Trihalomethyl Radicals on TiO2","W. Choi, M. R. Hoffmann",31 (1997) 89-95,https://doi.org/10.1021/es960157k
1996,J. Phys. Chem.,Kinetics and Mechanism of CCl4 Photoreductive Degradation on TiO2: The Role of Trichloromethyl Radical and Dichlorocarbene,"W. Choi, M. R. Hoffmann",100 (1996) 2161-2169,https://doi.org/10.1021/jp951431k
1995,Environ. Sci. Technol.,Photoreductive Mechanism of CCl4 Degradation on TiO2 Particles and Effects of Electron Donors,"W. Choi, M. R. Hoffmann",29 (1995) 1646-1654,https://doi.org/10.1021/es00006a031
1995,Chem. Rev.,Environmental Applications of Semiconductor Photocatalysis,"M. R. Hoffmann, S. T. Martin, W. Choi, D. W. Bahnemann",95 (1995) 69-96,https://doi.org/10.1021/cr00033a004
1994,J. Phys. Chem.,The Role of Metal-Ion Dopants in Quantum-Sized TiO2: Correlation between Photoreactivity and Charge-Carrier Recombination Dynamics,"W. Choi, A. Termin, M. R. Hoffmann",98 (1994) 13669-13679,https://doi.org/10.1021/j100102a038
1994,J. Chem. Soc. Faraday Trans.,Time-Resolved Microwave Conductivity (TRMC): I. TiO2 Photoreactivity and Size-Quantization,"S. T. Martin, H. Hermann, W. Choi, M. R. Hoffmann",90 (1994) 3315-3322,https://doi.org/10.1039/FT9949003315
1994,Angew. Chem. Int. Ed. Engl.,Effects of Metal-Ion Dopants on the Photocatalytic Reactivity on Quantum-Sized TiO2 Particles,"W. Choi, A. Termin, M. R. Hoffmann",33 (1994) 1091-1092,https://doi.org/10.1002/anie.199410911
1993,Surface Science,"Interactions of Low Energy (10 - 600 eV) Noble Gas Ions with a Graphite Surface: Surface Penetration, Trapping and Self-Sputtering Behaviors","W. Choi, C. Kim, H. Kang",281 (1993) 323-335,https://doi.org/10.1016/0167-2584(93)91211-6
1990,Radiation Effects and Defects in Solids,Ion and X-ray Induced Decomposition of Alkali Halates. A Comparative Study of the Radiation Induced Reaction Paths,"C. D. Park, W. Y. Choi, H. Kang",115 (1990) 65-72,https://doi.org/10.1080/10420159008220554
1990,Chem. Phys. Lett.,"Low Energy Threshold Behavior of He+, Ne+, Ar+ Ion Penetration into a Graphite (0001) Surface","W. Y. Choi, H. Kang",173 (1990) 316-318,https://doi.org/10.1016/0009-2614(90)85276-i
1990,Bull. Korean Chem. Soc.,Low Energy Ion-Surface Reactor,"W. Y. Choi, T. H. Kang, H. Kang",11 (1990) 290-296,https://doi.org/10.1524/zpch.1995.191.part_2.281
